date,open_price,close_price,lowest_price,highest_price,volume,L1_CP_R,CP_HP_R,CP_LP_R,L5_CP_SMA,L5_CP_SMA_R,L10_CP_SMA,L10_CP_SMA_R,L20_CP_SMA,L20_CP_SMA_R,L30_CP_SMA,L30_CP_SMA_R,L5_TV_SMA,L5_TV_SMA_R,L10_TV_SMA,L10_TV_SMA_R,L20_TV_SMA,L20_TV_SMA_R,L30_TV_SMA,L30_TV_SMA_R
2014-03-23,9.1575,9.0275,8.96,9.23,1640752.0,-0.015271338969184645,-0.021939328277356562,0.007533482142856984,9.07,-0.004685777287761872,9.030750000000001,-0.0003598815159318036,9.059625,-0.003545952509071859,8.912749999999999,0.01287481417071068,2517041.6,-0.34814267670427057,1937900.8,-0.15333540292671333,2483992.2,-0.33946974551691433,2704691.066666667,-0.3933680558859144
2014-03-24,9.07,9.0775,8.9775,9.1575,1984872.0,0.005538631957906492,-0.008736008736008771,0.011138958507379781,9.0735,0.00044084421667500706,9.029250000000001,0.005343743943295287,9.073375,0.0004546268615592819,8.932500000000001,0.01623285754268111,2585852.0,-0.23241082629632326,2031447.2,-0.022927103397026527,2424568.2,-0.18135031219167197,2715376.4,-0.26902509722040746
2014-03-25,9.1075,8.86,8.8575,9.135,2372252.0,-0.023960341503718063,-0.030103995621237,0.00028224668360143923,9.0355,-0.019423385534834914,9.00675,-0.01629333555389023,9.07275,-0.023449340056763357,8.939666666666666,-0.008911592527685586,2859347.2,-0.1703518901097426,2117189.6,0.1204721579966197,2136023.0,0.11059291028233309,2730503.6,-0.13120348934899773
2014-03-26,8.83,8.8575,8.79,8.88,1973136.0,-0.00028216704288930305,-0.002533783783783883,0.007679180887372183,8.998000000000001,-0.01561458101800417,9.001999999999999,-0.01605198844701161,9.061125,-0.02247237511898359,8.9455,-0.009837348387457312,3056823.2,-0.35451418976406623,2124086.4,-0.07106603573187975,2005283.6,-0.01603144812035573,2696707.7333333334,-0.2683167049915878
2014-03-27,8.87,8.98,8.8175,9.025,2254620.0,0.013830087496472077,-0.004986149584487509,0.018429259994329428,8.9605,0.00217621784498645,9.010000000000002,-0.0033296337402887177,9.05475,-0.008255335597338376,8.955,0.0027917364600782424,2045126.4,0.10243552672343381,2229028.0,0.01148123756184316,1954985.4,0.1532669246532481,2646450.6666666665,-0.14805893478460197
2014-03-30,9.045,9.0975,9.005,9.135,1557760.0,0.013084632516703776,-0.004105090311986803,0.010272071071626865,8.9745,0.01370549891358852,9.02225,0.008340491562526031,9.057625,0.004402368170464133,8.972583333333334,0.013922040289400028,2028528.0,-0.23207370073274813,2272784.8,-0.3146029487701607,1939345.0,-0.19675973073383024,2593911.3333333335,-0.3994551856951163
2014-03-31,9.125,9.1375,9.0775,9.2053,3160508.0,0.004396812311074472,-0.0073653221513693135,0.006609749380335872,8.9865,0.016802982251154397,9.030000000000001,0.01190476190476164,9.056625,0.008929926987150116,8.995416666666667,0.01579508082819947,2263655.2,0.396196735262508,2424753.6,0.3034347077575221,1963872.4,0.6093245161956551,2538561.7333333334,0.2449994650514178
2014-04-01,9.175,9.2225,9.13,9.235,1309820.0,0.009302325581395543,-0.0013535462912830365,0.010131434830229935,9.059000000000001,0.018048349707473044,9.04725,0.019370526955704737,9.058,0.018160741885625997,9.017249999999999,0.022761928525881103,2051168.8,-0.36142749441196653,2455258.0,-0.4665244955927239,1943128.2,-0.32592198497247893,2437515.6,-0.46264138781306674
2014-04-02,9.24,9.26,9.1875,9.3225,1359976.0,0.0040661425860666345,-0.006704210244033226,0.00789115646258498,9.1395,0.013184528694129893,9.06875,0.021088904203997227,9.06075,0.02199045332891858,9.039833333333336,0.024355168789984782,1928536.8,-0.2948145972635835,2492680.0,-0.4544121186835053,1892409.2,-0.28135204584716667,2441014.533333333,-0.44286443958902555
2014-04-03,9.325,9.2175,9.1675,9.385,2588836.0,-0.0045896328293737465,-0.01784762919552485,0.005454049631851587,9.187000000000001,0.0033199085664523675,9.07375,0.015842402534784306,9.061375,0.01722972506931897,9.058083333333334,0.017599381767665845,1995380.0,0.29741502871633463,2020253.2,0.281441355964688,1963502.6,0.3184785189487398,2452511.8666666667,0.05558551425833391
